epoch,train_loss,val_loss,lr,saved
1,0.5559618674001567,0.5430917232375004,0.001,True
2,0.5543257382046244,0.5428408536838639,0.001,True
3,0.5539316547557026,0.5428415559432913,0.001,False
4,0.5537023356278912,0.5425530081123509,0.001,True
5,0.5535698934436522,0.5436794286408247,0.001,False
6,0.5534425569837819,0.5429855402258025,0.001,False
7,0.5533416759422766,0.5428204026906192,0.001,False
8,0.5532335340102907,0.5423143346654191,0.001,True
9,0.553176699553367,0.5422170643956298,0.001,True
10,0.5531114619174063,0.5426656073130518,0.001,False
11,0.5530506336489112,0.5422471787823526,0.001,False
12,0.5529828632251452,0.5421243669029585,0.001,True
13,0.5529354029994363,0.5421297220579321,0.001,False
14,0.5528940171527627,0.5420949642935489,0.001,True
15,0.5528345845608303,0.5422142885749592,0.001,False
16,0.5527868862851801,0.5422053572432309,0.0005,False
17,0.552609727384626,0.5419803943171263,0.0005,True
18,0.5525233538482398,0.542058215940442,0.0005,False
19,0.5525154305182688,0.5424563824467906,0.0005,False
20,0.5524827125954151,0.5421413546344468,0.0005,False
21,0.5524675545837496,0.5420799879448798,0.00025,False
22,0.5523557888351781,0.5422406349109757,0.00025,False
23,0.5523248062436127,0.5421050865586979,0.00025,False
24,0.5523074061737975,0.5420658114808602,0.00025,False
